date,purpleair_pm2.5,PA_pm2_5a,PA_pm2_5b,avg_temp,max_temp,min_temp,RH,dewpoint,RefEmb_pm2.5,,,,,,
5/26/2020,16.41341815,13.97600834,14.07151599,31.28496368,37.77777778,25.55555556,57.19054242,21.40241076,14.75,,,,,,14.01341815
5/27/2020,22.6220654,20.58305556,20.53694444,31.27083333,36.11111111,26.66666667,60.8375,22.52160494,18.41666667,,,,,,20.2220654
5/28/2020,19.79845738,17.60119444,17.66480556,29.93132716,36.66666667,23.33333333,63.9875,22.01466049,14.41666667,,,,,,17.39845738
5/29/2020,22.07347251,19.80140473,20.00764951,31.02457116,35.55555556,26.66666667,60.09596662,22.08777623,21.16666667,,,,,,19.67347251
5/30/2020,24.78481274,22.83670833,22.92443056,30.24228395,35.55555556,25.55555556,64.07916667,22.37345679,19.75,,,,,,22.38481274
5/31/2020,10.22158219,7.702600834,7.780917942,31.2138773,37.22222222,25.55555556,59.71070932,22.03059805,10,,,,,,7.821582191
6/1/2020,19.7724726,17.5649096,17.63243394,31.37845773,36.11111111,26.66666667,60.65785814,22.57379076,14.54166667,,,,,,17.3724726
6/2/2020,30.32770152,28.47231944,28.6135,28.81867284,35,23.33333333,65.37222222,21.4375,22.58333333,,,,,,27.92770152
6/3/2020,35.87701035,34.36383866,34.42418637,31.01916242,36.66666667,25,57.90125174,21.34059651,27.29166667,,,,,,33.47701035
6/4/2020,20.81958964,18.50591099,18.71324061,30.87312626,36.11111111,26.11111111,61.60639777,22.35898625,18.79166667,,,,,,18.41958964
6/5/2020,20.48201773,18.57218359,18.42253129,31.82970175,37.77777778,26.66666667,52.91515994,20.57332715,19.91666667,,,,,,18.08201773
6/6/2020,20.17069581,18.04798611,18.11270833,31.25540123,36.11111111,26.11111111,59.4,22.14429012,18.83333333,,,,,,17.77069581
6/7/2020,17.34634893,15.08769124,15.07445063,31.38850255,35.55555556,26.11111111,59.84144645,22.35280482,14.83333333,,,,,,14.94634893
6/8/2020,19.88607114,17.59676389,17.70161111,31.43981481,35,27.22222222,59.16388889,22.22762346,15.375,,,,,,17.48607114
6/9/2020,15.18490331,12.69481944,12.86927778,29.81790123,32.77777778,25.55555556,62.90972222,21.70216049,13.83333333,,,,,,12.78490331
6/10/2020,15.64433127,13.29799722,13.36012517,29.63375058,34.44444444,24.44444444,65.32545202,22.15808994,15.29166667,,,,,,13.24433127
6/11/2020,12.82346392,10.386875,10.44391667,29.51697531,33.33333333,24.44444444,61.81805556,21.12962963,11.08333333,,,,,,10.42346392
6/12/2020,20.36550756,18.0194993,18.22607789,29.87791686,33.88888889,26.11111111,63.7232267,22.00664503,16.08333333,,,,,,17.96550756
6/13/2020,28.99960528,26.91390821,27.26436718,30.17539793,33.33333333,26.11111111,64.24895688,22.47875135,19.25,,,,,,26.59960528
6/14/2020,26.94402446,24.75840278,25.03336111,30.33873457,35,25.55555556,62.38888889,22.10725309,17.54166667,,,,,,24.54402446
6/15/2020,33.76048961,31.59564673,31.92065369,31.13506413,35.55555556,27.22222222,60.86648122,22.47488796,23.70833333,,,,,,31.36048961
6/16/2020,28.88784417,26.80595833,27.09091667,31.07253086,35,27.77777778,61.75694444,22.67052469,20.625,,,,,,26.48784417
6/17/2020,28.59405911,26.27536857,26.76841446,30.28820893,33.33333333,26.66666667,64.7566064,22.71673621,20.16666667,,,,,,26.19405911
6/18/2020,35.41263873,33.47131944,33.93502778,30.01080247,32.77777778,26.11111111,63.29583333,22.07330247,24.25,,,,,,33.01263873
6/19/2020,36.72601031,34.92652778,35.31701389,30.54166667,35.55555556,26.66666667,60.32361111,21.74845679,23.58333333,,,,,,34.32601031
6/20/2020,33.99636163,32.14739917,32.49439499,30.01236285,33.33333333,22.22222222,61.68428373,21.62030598,23.70833333,,,,,,31.59636163
6/21/2020,16.07952159,13.51962448,13.78059805,28.87884407,33.33333333,24.44444444,63.61057024,20.97357441,17.875,,,,,,13.67952159
6/22/2020,37.13478119,35.294875,35.77141667,29.64506173,34.44444444,25,64.16527778,21.87345679,21.04166667,,,,,,34.73478119
6/23/2020,46.21428448,44.70936416,45.2600289,30.50818882,35,26.11111111,61.58092486,22.05362877,26.33333333,,,,,,43.81428448
6/24/2020,41.14812261,39.18095105,39.94657343,30.34809635,34.44444444,26.66666667,62.41678322,22.16627817,25.45833333,,,,,,38.74812261
6/25/2020,38.84543687,36.93595537,37.61523013,30.44088021,33.33333333,26.66666667,62.07670851,22.14318921,22.95833333,,,,,,36.44543687
6/26/2020,30.05332947,27.77607789,28.3159249,29.61211559,31.66666667,27.22222222,63.36022253,21.73466234,19.45833333,,,,,,27.65332947
6/27/2020,16.74143368,14.26477051,14.44044506,29.0403338,32.77777778,23.88888889,65.10570236,21.61335188,15.125,,,,,,14.34143368
6/28/2020,24.2009411,21.99369958,22.11165508,29.41276464,32.77777778,26.11111111,63.14047288,21.4325452,17.54166667,,,,,,21.8009411
6/29/2020,26.07889627,23.81834492,24.18702364,28.32251584,31.66666667,24.44444444,67.90125174,21.60948849,15.9375,,,,,,23.67889627
6/30/2020,29.37195552,27.23073611,27.62779167,29.35339506,32.77777778,25.55555556,62.65277778,21.3279321,16.2,,,,,,26.97195552
7/1/2020,27.78246293,25.45684284,25.95443672,29.27136455,32.77777778,25.55555556,61.34353268,20.84608252,19.125,,,,,,25.38246293
7/2/2020,28.11673739,25.96892907,26.28650904,29.64379539,33.88888889,25.55555556,61.13212796,21.13429145,18.41666667,,,,,,25.71673739
7/3/2020,32.95086462,31.09493741,31.36653686,29.03647041,31.66666667,25,64.55632823,21.51985783,21.58333333,,,,,,30.55086462
7/4/2020,35.81433451,33.92340751,34.3766064,27.36130428,30,24.44444444,72.28650904,21.72307217,19.45833333,,,,,,33.41433451
7/5/2020,43.31719789,41.72312935,42.2750904,29.06351414,32.22222222,25,65.2767733,21.64889507,24.70833333,,,,,,40.91719789
7/6/2020,45.86570519,44.50937326,44.89366295,28.89121015,32.77777778,25.55555556,65.1281337,21.43221913,24.25,,,,,,43.46570519
7/7/2020,42.71705759,41.22278164,41.57426982,28.76294236,32.22222222,25,64.11265647,21.0655231,25.77272727,,,,,,40.31705759
7/8/2020,37.37378963,35.78810585,36.02593315,28.75967193,31.66666667,25,64.98885794,21.32466729,23.58333333,,,,,,34.97378963
7/9/2020,51.15205002,49.91396384,50.25382476,29.16241694,32.22222222,25,62.3713491,20.98130119,30.5,,,,,,48.75205002
7/10/2020,51.48829477,50.30019471,50.74349096,28.67408438,31.66666667,25,65.23922114,21.28650904,32.95833333,,,,,,49.08829477
7/11/2020,45.61095951,44.1140612,44.60226704,28.72817184,31.66666667,25.55555556,63.97496523,21.04697883,27.29166667,,,,,,43.21095951
7/12/2020,45.88960647,44.47546592,44.75358832,28.81316643,32.22222222,25,61.79694019,20.52155772,28.375,,,,,,43.48960647
7/13/2020,38.10862313,36.49963839,36.77230876,28.49945913,32.22222222,25,64.46453408,20.93184979,25.08333333,,,,,,35.70862313
7/14/2020,27.37697668,25.34634214,25.49172462,28.26997373,31.66666667,25,65.18497914,20.85844537,19,,,,,,24.97697668
7/15/2020,28.40434848,26.38517385,26.59058414,28.09148509,31.66666667,23.88888889,64.53685675,20.52619379,19.33333333,,,,,,26.00434848
7/16/2020,27.35593774,25.25374652,25.43955432,28.20798514,32.22222222,23.88888889,62.68941504,20.17099969,17.25,,,,,,24.95593774
7/17/2020,29.03627801,27.06578581,27.14726008,28.12161953,32.22222222,24.44444444,62.97079277,20.19239685,20.125,,,,,,26.63627801
7/18/2020,34.77990966,32.86965181,33.11097493,28.89275766,33.33333333,25,62.65041783,20.79851439,20.91666667,,,,,,32.37990966
7/19/2020,24.3429195,22.13257302,22.35126565,29.14309998,32.77777778,25,63.35744089,21.24092103,20.5,,,,,,21.9429195
7/20/2020,21.43904237,19.19481894,19.30227019,28.95697926,33.33333333,25,63.05710306,20.97879913,15.70833333,,,,,,19.03904237
7/21/2020,29.33547357,27.29229485,27.5447427,28.87961675,32.22222222,25.55555556,63.87482615,21.15206305,18.83333333,,,,,,26.93547357
7/22/2020,30.92648911,29.00243394,29.20821975,28.68644723,33.33333333,25,63.06258693,20.75336115,24.16666667,,,,,,28.52648911
7/23/2020,29.68032064,27.82369958,27.92739917,29.36331324,33.88888889,25,61.20027816,20.81440272,25.25,,,,,,27.28032064
7/24/2020,30.4539216,28.39557719,28.73563282,28.51414001,32.77777778,24.44444444,66.20862309,21.3583681,21.875,,,,,,28.0539216
7/25/2020,41.11847342,39.38360223,39.8059249,28.8919796,32.77777778,25,62.17524339,20.66218513,26.79166667,,,,,,38.71847342
7/26/2020,54.61358475,53.40468707,54.0405007,28.08530366,30.55555556,25,63.66620306,20.39252048,31.33333333,,,,,,52.21358475
7/27/2020,43.85627804,42.3641922,42.71718663,28.23274528,31.66666667,25,61.95821727,19.99767874,26.45833333,,,,,,41.45627804
7/28/2020,36.37084614,34.66503477,34.94756606,28.62308762,32.77777778,25,60.95132128,20.06876835,24.375,,,,,,33.97084614
7/29/2020,35.34179115,33.36098886,33.81633705,29.19297431,33.88888889,25,61.07799443,20.62287218,23.66666667,,,,,,32.94179115
7/30/2020,29.3703335,27.29884401,27.56033426,28.57783968,33.33333333,24.44444444,61.59331476,20.1996286,19.29166667,,,,,,26.9703335
7/31/2020,27.27521641,24.88719054,25.38182197,28.37660331,31.66666667,25,63.60917942,20.60732499,17.45833333,,,,,,24.87521641
8/1/2020,29.84971726,27.60089013,28.05584145,29.04419719,33.33333333,24.44444444,62.02503477,20.78735899,18.29166667,,,,,,27.44971726
8/2/2020,29.80431122,27.63845404,28.07133705,28.43856391,32.77777778,25,61.16016713,19.95202724,19.08333333,,,,,,27.40431122
8/3/2020,34.93422933,33.10500695,33.46004172,28.21047752,32.22222222,23.88888889,59.59527121,19.34090558,21.83333333,,,,,,32.53422933
8/4/2020,41.84638429,40.02884562,40.50713491,27.96862927,33.33333333,23.33333333,59.06675939,18.85257302,24.79166667,,,,,,39.44638429
8/5/2020,21.72970508,19.43729805,19.6067688,27.25394615,31.66666667,23.33333333,59.78272981,18.45171773,16.625,,,,,,19.32970508
8/6/2020,29.20690822,26.98226704,27.32276773,27.37598516,32.22222222,22.22222222,58.6077886,18.26533766,18.8,,,,,,26.80690822
8/7/2020,31.31115947,29.19087744,29.53803621,27.44042092,31.66666667,23.33333333,61.21448468,18.99798824,15.77777778,,,,,,28.91115947
8/8/2020,39.02335948,37.32788595,37.67496523,28.74362541,33.88888889,23.88888889,58.90681502,19.59666203,27,,,,,,36.62335948
8/9/2020,38.69228023,37.0905007,37.38919332,28.91515994,35.55555556,24.44444444,59.3922114,19.77746871,22.08333333,,,,,,36.29228023
8/10/2020,34.28165992,32.5677886,32.77884562,28.57209087,33.33333333,24.44444444,60.14603616,19.80296708,21.04166667,,,,,,31.88165992
8/11/2020,35.96044254,34.10052851,34.5003338,28.9097512,34.44444444,25,61.44645341,20.50146809,20.41666667,,,,,,33.56044254
8/12/2020,46.86439247,45.13967967,45.76749304,28.93144537,33.88888889,24.44444444,58.61977716,19.65258434,26.375,,,,,,44.46439247
8/13/2020,45.41677011,43.80889972,44.29019499,28.9631693,35.55555556,23.88888889,57.89693593,19.34230888,26.66666667,,,,,,43.01677011
8/14/2020,38.92666481,37.36143255,37.61073713,27.80713955,32.77777778,23.88888889,63.0472879,19.81842065,23.5,,,,,,36.52666481
8/15/2020,38.53449936,36.90988873,37.22578581,28.28079122,32.22222222,24.44444444,66.72461752,21.30814403,21.20833333,,,,,,36.13449936
8/16/2020,37.34017981,35.64125348,35.95551532,29.38563912,35,25,60.37604457,20.53079542,24.04166667,,,,,,34.94017981
8/17/2020,36.28843702,34.79301808,34.85404729,28.761397,33.33333333,24.44444444,60.39638387,20.08035852,21.375,,,,,,33.88843702
8/18/2020,35.88074839,34.31787204,34.43817803,29.33936022,35,25,59.6620306,20.29748107,23.875,,,,,,33.48074839
8/19/2020,38.76483694,37.10332406,37.16938804,28.98701901,33.88888889,24.44444444,62.63282337,20.88780714,22.29166667,,,,,,36.36483694
8/20/2020,38.07364801,36.60015299,36.67682893,28.62926905,33.33333333,24.44444444,62.72878999,20.54242003,25.20833333,,,,,,35.67364801
8/21/2020,35.25698391,33.61456825,33.80664345,28.54921077,32.77777778,24.44444444,63.88022284,20.78536057,24.20833333,,,,,,32.85698391
8/22/2020,27.76107478,25.70705146,25.945758,28.98624633,33.88888889,25,63.06675939,20.96739298,20.41666667,,,,,,25.36107478
8/23/2020,24.73168827,22.53630042,22.78454798,29.234276,34.44444444,25,60.91794159,20.6104157,17.70833333,,,,,,22.33168827
