date,purpleair_pm2.5,PA_pm2_5a,PA_pm2_5b,avg_temp,max_temp,min_temp,RH,dewpoint,RefEmb_pm2.5
8/6/2020,26.80690822,26.98226704,27.32276773,27.37598516,32.22222222,22.22222222,58.6077886,18.26533766,18.8
8/7/2020,28.91115947,29.19087744,29.53803621,27.44042092,31.66666667,23.33333333,61.21448468,18.99798824,15.77777778
8/8/2020,36.62335948,37.32788595,37.67496523,28.74362541,33.88888889,23.88888889,58.90681502,19.59666203,27
8/9/2020,36.29228023,37.0905007,37.38919332,28.91515994,35.55555556,24.44444444,59.3922114,19.77746871,22.08333333
8/10/2020,31.88165992,32.5677886,32.77884562,28.57209087,33.33333333,24.44444444,60.14603616,19.80296708,21.04166667
8/11/2020,33.56044254,34.10052851,34.5003338,28.9097512,34.44444444,25,61.44645341,20.50146809,20.41666667
8/12/2020,44.46439247,45.13967967,45.76749304,28.93144537,33.88888889,24.44444444,58.61977716,19.65258434,26.375
8/13/2020,43.01677011,43.80889972,44.29019499,28.9631693,35.55555556,23.88888889,57.89693593,19.34230888,26.66666667
8/14/2020,36.52666481,37.36143255,37.61073713,27.80713955,32.77777778,23.88888889,63.0472879,19.81842065,23.5
8/15/2020,36.13449936,36.90988873,37.22578581,28.28079122,32.22222222,24.44444444,66.72461752,21.30814403,21.20833333
8/16/2020,34.94017981,35.64125348,35.95551532,29.38563912,35,25,60.37604457,20.53079542,24.04166667
8/17/2020,33.88843702,34.79301808,34.85404729,28.761397,33.33333333,24.44444444,60.39638387,20.08035852,21.375
8/18/2020,33.48074839,34.31787204,34.43817803,29.33936022,35,25,59.6620306,20.29748107,23.875
8/19/2020,36.36483694,37.10332406,37.16938804,28.98701901,33.88888889,24.44444444,62.63282337,20.88780714,22.29166667
8/20/2020,35.67364801,36.60015299,36.67682893,28.62926905,33.33333333,24.44444444,62.72878999,20.54242003,25.20833333
8/21/2020,32.85698391,33.61456825,33.80664345,28.54921077,32.77777778,24.44444444,63.88022284,20.78536057,24.20833333
8/22/2020,25.36107478,25.70705146,25.945758,28.98624633,33.88888889,25,63.06675939,20.96739298,20.41666667
8/23/2020,22.33168827,22.53630042,22.78454798,29.234276,34.44444444,25,60.91794159,20.6104157,17.70833333
8/24/2020,32.07177985,32.5386351,32.87057103,28.7991334,34.44444444,24.44444444,60.52924791,20.03404519,22.5
8/25/2020,23.51204641,23.9198331,23.97303199,28.94374903,33.88888889,24.44444444,60.73852573,20.31834338,19.45833333
8/26/2020,29.35178125,30.00325452,30.08148818,29.29995364,35.55555556,24.44444444,59.73018081,20.2681193,21.75
8/27/2020,26.54096718,26.99424791,27.15506964,29.09702878,33.88888889,25,62.53481894,20.9455277,19.91666667
8/28/2020,31.72123606,31.93100279,32.60785515,28.59057803,33.33333333,25,63.0376569,20.54651037,22.375
8/29/2020,29.60469833,29.6447427,30.37901252,28.33797586,31.11111111,25,63.57520891,20.4659249,21.04166667
8/30/2020,28.79142433,28.60611421,29.53200557,29.11049124,34.44444444,25,61.96348189,20.74857629,21.625
8/31/2020,31.55404224,31.47036161,32.44183588,29.04828227,35,25,61.72223922,20.63437645,22.08333333
9/1/2020,23.06506506,22.8964624,23.52681058,28.9461467,34.44444444,25.55555556,62.24233983,20.72887651,20
9/2/2020,22.543084,22.42656467,22.97696801,28.78225931,33.33333333,25,62.39916551,20.60191624,18.58333333
